"","cell_index","PointNum","pos_x","pos_y","cell_Area","k10_mesmer","k15_mesmer","mesmer_full"
"95",95,"A1",308.603550295858,12.9437869822485,338,"Lymphatic","Lymphatic","Lymphatic"
"96",96,"A1",804.438172043011,12.0752688172043,372,"B","B","B"
"97",97,"A1",989.378590078329,14.2062663185379,383,"B","B","B"
"98",98,"A1",1116.81573896353,10.8790786948177,521,"B","B","Epithelial"
"99",99,"A1",1354.28070175439,13.5513784461153,399,"B","B","Epithelial"
"100",100,"A1",153.889719626168,16.5719626168224,535,"B","B","B"
"101",101,"A1",56.7669172932331,15.609022556391,133,"Lymphatic","Lymphatic","Lymphatic"
"102",102,"A1",358.852348993289,15.9731543624161,149,"Lymphatic","Lymphatic","Lymphatic"
"103",103,"A1",713.901823281907,16.0799438990182,713,"B","B","B"
"104",104,"A1",946.018181818182,16.4272727272727,330,"B","B","B"
"105",105,"A1",1008.39797639123,15.8263069139966,593,"B","B","B"
"106",106,"A1",74.4415322580645,17.3286290322581,496,"Lymphatic","Lymphatic","Lymphatic"
"107",107,"A1",1279.46736842105,16.7094736842105,475,"B","B","B"
"108",108,"A1",1314.60084033613,17.046218487395,476,"B","B","B"
"109",109,"A1",24.7512953367876,17.6839378238342,193,"Lymphatic","Lymphatic","Lymphatic"
"110",110,"A1",199.59872611465,18.5350318471338,314,"T","CD8","CD8"
"111",111,"A1",404.827067669173,16.7368421052632,399,"B","B","Lymphatic"
"112",112,"A1",488.868932038835,20.0550161812298,618,"B","B","M1"
"113",113,"A1",576.739549839228,22.7106109324759,622,"B","B","B"
"114",114,"A1",967.451612903226,17.6845878136201,279,"B","B","B"
"115",115,"A1",1254.31730769231,18.3173076923077,520,"B","B","B"
"116",116,"A1",1635.90596745027,17.8589511754069,553,"B","B","Epithelial"
"117",117,"A1",1660.03367003367,17.5824915824916,594,"B","B","Epithelial"
"118",118,"A1",1821.69552238806,17.0089552238806,335,"B","B","B"
"119",119,"A1",457.444162436548,18.8654822335025,394,"B","B","B"
"120",120,"A1",542.102564102564,19.4615384615385,39,"B","B","B"
"121",121,"A1",661.804182509506,19.1844106463878,526,"B","B","B"
"122",122,"A1",864.386740331492,18.7845303867403,362,"B","B","Epithelial"
"123",123,"A1",96.6014492753623,20.1908212560386,414,"Lymphatic","Lymphatic","Lymphatic"
"124",124,"A1",600.912396694215,19.8611570247934,605,"B","B","B"
"125",125,"A1",1209.06073752711,19.7180043383948,461,"B","B","Epithelial"
"126",126,"A1",1535.25636007828,19.9197651663405,511,"B","B","B"
"127",127,"A1",1586.38602941176,20.0294117647059,544,"B","B","Epithelial"
"128",128,"A1",41.1281138790036,21.3629893238434,562,"Lymphatic","Lymphatic","Lymphatic"
"129",129,"A1",260.162162162162,20.6942567567568,592,"Lymphatic","Lymphatic","Lymphatic"
"130",130,"A1",1043.72765072765,20.9355509355509,481,"B","B","Epithelial"
"131",131,"A1",1456.47046843177,20.9144602851324,491,"B","B","B"
"132",132,"A1",1500.12608695652,20.5913043478261,230,"B","B","Epithelial"
"133",133,"A1",1682.50372208437,20.7196029776675,403,"B","B","Epithelial"
"134",134,"A1",1840.30568720379,20.2156398104265,422,"B","B","CD4"
"135",135,"A1",1077.40476190476,21.2738095238095,84,"B","B","Epithelial"
"136",136,"A1",1135.20547945205,22.4246575342466,438,"B","B","B"
"137",137,"A1",1800.85070422535,22.6901408450704,355,"B","B","B"
"138",138,"A1",1960.78609625668,22.8823529411765,187,"B","B","B"
"139",139,"A1",437.874551971326,20.3064516129032,558,"B","B","B"
"140",140,"A1",743.065146579805,23.5276872964169,307,"B","B","Lymphatic"
"141",141,"A1",819.416666666667,22.1813725490196,408,"B","B","B"
"142",142,"A1",1862.32131495228,22.4517497348887,943,"B","B","Lymphatic"
"143",143,"A1",139.215962441315,24.0845070422535,213,"B","B","Lymphatic"
"144",144,"A1",294.9375,22.4754464285714,448,"Lymphatic","Lymphatic","Lymphatic"
"145",145,"A1",879.190476190476,22.5641025641026,273,"B","B","Epithelial"
"146",146,"A1",1510.37053571429,25.5580357142857,224,"B","B","CD4"
"147",147,"A1",1926.10891089109,24.0519801980198,404,"B","B","B"
"148",148,"A1",1939.16923076923,24.0230769230769,130,"B","B","B"
"149",149,"A1",1994.04444444444,21.4222222222222,270,"B","B","B"
"150",150,"A1",900.610062893082,24.4088050314465,159,"B","B","B"
"151",151,"A1",1330.06796116505,26.3203883495146,309,"B","B","Epithelial"
"152",152,"A1",1417.92239858907,25.0352733686067,567,"B","B","B"
"153",153,"A1",1888.01479915433,25.2832980972516,473,"B","B","B"
"154",154,"A1",173.164859002169,24.6095444685466,461,"B","B","Lymphatic"
"155",155,"A1",384.590909090909,24.9973262032086,374,"B","B","B"
"156",156,"A1",420.491803278689,25.6229508196721,122,"B","B","DC"
"157",157,"A1",472.247863247863,25.5982905982906,117,"B","B","CD4"
"158",158,"A1",1183.34027777778,26.4930555555556,144,"B","Endothelial","B"
"159",159,"A1",1364.72304439746,25.8202959830867,473,"B","B","Epithelial"
"160",160,"A1",684.320610687023,26.1526717557252,393,"B","B","B"
"161",161,"A1",1472.875,27.5029761904762,336,"B","B","B"
"162",162,"A1",1610.57943925234,27.4392523364486,535,"B","B","Epithelial"
"163",163,"A1",1760.59243697479,25.9033613445378,476,"B","B","Epithelial"
"164",164,"A1",1777.53216374269,27.4035087719298,342,"B","B","CD4"
"165",165,"A1",120.508650519031,28.4429065743945,578,"B","B","B"
"166",166,"A1",559.164794007491,28.2397003745318,267,"B","B","B"
"167",167,"A1",797.470588235294,30.0798319327731,238,"B","Endothelial","B"
"168",168,"A1",233.602724177072,29.1736662883087,881,"Unresolvable","Unresolvable","DC"
"169",169,"A1",761.056886227545,29.002994011976,334,"B","B","Lymphatic"
"170",170,"A1",996.013333333333,29.2666666666667,75,"B","B","B"
"171",171,"A1",1156.8,29.0676470588235,340,"B","B","B"
"172",172,"A1",1737.47397260274,29.1698630136986,365,"B","B","B"
"173",173,"A1",2039.65869565217,28.8173913043478,460,"B","B","M1"
"174",174,"A1",533.481228668942,29.957337883959,586,"B","B","B"
"175",175,"A1",699.666666666667,30.231884057971,138,"B","B","B"
"176",176,"A1",890.3,30.1533333333333,150,"B","B","Epithelial"
"177",177,"A1",1382.48358208955,30.0119402985075,335,"B","B","Epithelial"
"178",178,"A1",960.514285714286,31.1214285714286,140,"B","B","B"
"179",179,"A1",1563.70925925926,31.2259259259259,540,"B","B","Epithelial"
"180",180,"A1",1909.26068376068,31.284188034188,468,"B","B","B"
"181",181,"A1",2009.09205020921,30.7238493723849,239,"B","B","B"
"182",182,"A1",366.75,31.4140625,128,"B","B","Lymphatic"
"183",183,"A1",509.086342229199,32.2009419152276,637,"B","B","B"
"184",184,"A1",832.686956521739,32.3101449275362,345,"B","B","B"
"185",185,"A1",848.78453038674,31.9088397790055,362,"B","B","B"
"186",186,"A1",929.965517241379,32.0477453580902,377,"B","B","B"
"187",187,"A1",1089.87365591398,31.8978494623656,372,"B","B","Epithelial"
"188",188,"A1",1398.09343434343,33.1388888888889,396,"B","B","B"
"189",189,"A1",1712.15892857143,32.0410714285714,560,"B","B","Epithelial"
"190",190,"A1",1978.11913357401,31.7418772563177,554,"B","B","B"
"191",191,"A1",14.773381294964,32.1618705035971,278,"Lymphatic","Lymphatic","Lymphatic"
"192",192,"A1",729.723076923077,33.5974358974359,390,"B","B","Epithelial"
"193",193,"A1",978.319474835886,32.4201312910284,457,"B","B","B"
"194",194,"A1",1027.52925531915,33.4015957446809,376,"B","B","B"
"195",195,"A1",1063.59163346614,32.5737051792829,502,"B","Epithelial","Epithelial"
"196",196,"A1",1228.23150357995,34.2219570405728,419,"B","B","B"
"197",197,"A1",1306.17475728155,32.9741100323625,309,"B","B","B"
"198",198,"A1",620.605488850772,33.4596912521441,583,"B","B","B"
"199",199,"A1",779.37015503876,33.5484496124031,516,"Lymphatic","Lymphatic","Lymphatic"
"200",200,"A1",911.402555910543,33.7284345047923,313,"B","B","B"
"201",201,"A1",1279.25330396476,33.5066079295154,454,"B","B","B"
"202",202,"A1",188.595406360424,36.6219081272085,566,"B","B","B"
"203",203,"A1",947.294915254237,35.1016949152542,295,"B","B","B"
"204",204,"A1",1195.74006116208,36.2018348623853,327,"B","B","B"
"205",205,"A1",1342.19607843137,35.8700980392157,408,"B","B","Epithelial"
"206",206,"A1",1533.72268907563,35.436974789916,119,"B","B","B"
"207",207,"A1",1649.53439153439,36.9761904761905,378,"B","B","Epithelial"
"208",208,"A1",1676.73703703704,36.1962962962963,270,"B","B","Epithelial"
"209",209,"A1",1948.68058455115,36.1941544885177,479,"B","B","B"
"210",210,"A1",1996.98203592814,36.7784431137725,167,"B","B","B"
"211",211,"A1",60.6948881789137,36.0287539936102,626,"B","B","Lymphatic"
"212",212,"A1",398.832386363636,36.5852272727273,352,"B","B","Lymphatic"
"213",213,"A1",451.53,36.98,100,"B","B","B"
"214",214,"A1",1437.89112903226,37.4616935483871,496,"B","B","B"
"215",215,"A1",1517.1320754717,36.8278301886792,424,"B","B","B"
"216",216,"A1",1631.68936170213,37.5148936170213,235,"T","CD4","Treg"
"217",217,"A1",349.960858585859,37.0429292929293,792,"Lymphatic","Lymphatic","Lymphatic"
"218",218,"A1",1213.5977443609,41.5075187969925,266,"B","B","B"
"219",219,"A1",1825.05959031657,37.5791433891993,537,"B","B","DC"
"220",220,"A1",210.14652014652,39.1428571428571,273,"B","B","B"
"221",221,"A1",638.202404809619,39.6613226452906,499,"B","B","B"
"222",222,"A1",811.690773067332,42.7057356608479,401,"B","B","B"
"223",223,"A1",1170.02769230769,38.3292307692308,325,"B","B","Epithelial"
"224",224,"A1",1251.07175925926,39.1689814814815,432,"B","B","B"
"225",225,"A1",1116.87338129496,41.031654676259,695,"B","B","Epithelial"
"226",226,"A1",1787.6,40.6725,400,"B","B","B"
"227",227,"A1",224.163043478261,42.5217391304348,184,"Unresolvable","Unresolvable","DC"
"228",228,"A1",283.650793650794,42.1065759637188,441,"T","CD4","CD4"
"229",229,"A1",415.672922252011,42.254691689008,373,"B","B","Lymphatic"
"230",230,"A1",1487.31825037707,42.0814479638009,663,"B","B","Epithelial"
"231",231,"A1",1548.99159663866,41.8207282913165,357,"B","B","Epithelial"
"232",232,"A1",1591.23103448276,42.298275862069,580,"B","B","Epithelial"
"233",233,"A1",1843.71428571429,39.5142857142857,35,"Unresolvable","Unresolvable","DC"
"234",234,"A1",31.2883817427386,43.0995850622407,482,"B","B","B"
"235",235,"A1",92.1842105263158,42.9005847953216,684,"B","B","Lymphatic"
"236",236,"A1",469.922794117647,43.2242647058824,544,"B","B","CD4"
"237",237,"A1",570.990228013029,43.5179153094463,307,"B","B","B"
"238",238,"A1",656.975881261596,43.3135435992579,539,"B","B","Lymphatic"
"239",239,"A1",1141.46762589928,42.5923261390887,417,"B","B","Epithelial"
"240",240,"A1",1728.90842490842,43.0842490842491,273,"B","B","B"
"241",241,"A1",1879.14745308311,43.0777479892761,373,"B","B","B"
"242",242,"A1",157.942446043165,44.1654676258993,417,"T","CD4","CD4"
"243",243,"A1",315.335714285714,44.4666666666667,420,"Lymphatic","Lymphatic","Lymphatic"
"244",244,"A1",372.507836990596,43.4545454545455,319,"B","B","B"
"245",245,"A1",878.75967413442,44.4052953156823,491,"B","B","Epithelial"
"246",246,"A1",995.464912280702,43.5723684210526,456,"B","B","B"
"247",247,"A1",6,44.2168674698795,166,"B","B","B"
"248",248,"A1",139.54233409611,44.6315789473684,437,"B","B","B"
"249",249,"A1",967.345864661654,45.7368421052632,133,"B","B","B"
"250",250,"A1",1046.97727272727,46.6431818181818,440,"B","B","Epithelial"
"251",251,"A1",1534.46951219512,47.6768292682927,164,"B","B","CD4"
"252",252,"A1",1803.96713615023,46.1338028169014,426,"B","B","B"
"253",253,"A1",2027.0460251046,46.5606694560669,717,"B","B","B"
"254",254,"A1",595.458860759494,46.5363924050633,632,"B","Endothelial","B"
"255",255,"A1",1180.86111111111,48.0763888888889,288,"B","B","B"
"256",256,"A1",1330.98675496689,48.4701986754967,151,"B","B","Epithelial"
"257",257,"A1",1694.15044247788,47.0147492625369,339,"B","B","Epithelial"
"258",258,"A1",841.571428571429,48.1904761904762,105,"B","B","Epithelial"
"259",259,"A1",1073.72955974843,48.1383647798742,318,"T","CD8","CD8"
"260",260,"A1",1411.97173913043,47.654347826087,460,"B","B","B"
"261",261,"A1",715.793046357616,49.7384105960265,604,"B","B","Epithelial"
"262",262,"A1",752.799713876967,49.1988555078684,699,"B","B","B"
"263",263,"A1",1447.67361111111,49.6597222222222,144,"B","B","Epithelial"
"264",264,"A1",1961.95454545455,48.4832535885167,418,"B","B","B"
"265",265,"A1",299.683823529412,50.5147058823529,136,"T","CD4","CD4"
"266",266,"A1",488.051724137931,50.5948275862069,116,"B","B","B"
"267",267,"A1",674.996078431373,50.3352941176471,510,"B","B","Lymphatic"
"268",268,"A1",858.257425742574,49.4534653465347,505,"B","B","Epithelial"
"269",269,"A1",950.971671388102,51.6657223796034,353,"B","B","Epithelial"
"270",270,"A1",1616.77882352941,49.7764705882353,425,"B","B","Epithelial"
"271",271,"A1",1742.75350140056,49.1764705882353,357,"B","B","Epithelial"
"272",272,"A1",1898.67264573991,49.9260089686099,446,"B","B","B"
"273",273,"A1",119.741935483871,51.8440860215054,372,"B","B","Lymphatic"
"274",274,"A1",1572.15950920245,51.6625766871166,163,"B","B","B"
"275",275,"A1",1942.26785714286,51.3214285714286,56,"B","B","B"
"276",276,"A1",15.2313432835821,52.1044776119403,134,"B","B","CD4"
"277",277,"A1",827.142857142857,52.1467181467181,259,"B","B","B"
"278",278,"A1",1016.92570281124,52.929718875502,498,"B","B","B"
"279",279,"A1",1092.83499005964,52.831013916501,503,"B","B","Epithelial"
"280",280,"A1",1360.73027522936,52,545,"B","B","Epithelial"
"281",281,"A1",220.916666666667,53.2916666666667,72,"Unresolvable","Unresolvable","DC"
"282",282,"A1",977.953488372093,53.0348837209302,86,"B","B","B"
"283",283,"A1",1311.25669957687,52.6685472496474,709,"B","Epithelial","Epithelial"
"284",284,"A1",1345.30872483221,52.6375838926174,149,"B","B","Epithelial"
"285",285,"A1",1518.42628205128,53.3878205128205,312,"B","B","Epithelial"
"286",286,"A1",1666.07438016529,55.4247933884298,605,"B","B","Epithelial"
"287",287,"A1",1761.36467889908,52.644495412844,436,"B","B","B"
"288",288,"A1",1926.38288288288,52.960960960961,666,"B","B","B"
"289",289,"A1",241.99213836478,53.8805031446541,636,"B","B","Lymphatic"
"290",290,"A1",513.799256505576,53.5278810408922,269,"B","B","B"
"291",291,"A1",555.427065026362,54.3532513181019,569,"B","B","B"
"292",292,"A1",694.750326797386,54.3712418300654,765,"B","B","B"
"293",293,"A1",790.640495867769,53.7623966942149,484,"B","B","Lymphatic"
"294",294,"A1",1278.5223880597,53.8718905472637,804,"B","B","Epithelial"
"295",295,"A1",1462.7048092869,54.3996683250415,603,"B","B","Epithelial"
"296",296,"A1",1777.39024390244,55.0487804878049,164,"B","B","B"
"297",297,"A1",893.464743589744,54.9903846153846,312,"B","B","Epithelial"
"298",298,"A1",1378.63298969072,55.2412371134021,485,"B","B","B"
"299",299,"A1",1543.59459459459,55.0810810810811,74,"B","B","Epithelial"
"300",300,"A1",337.503816793893,55.0610687022901,262,"Lymphatic","Lymphatic","Lymphatic"
"301",301,"A1",389.160583941606,55.8704379562044,548,"B","B","Lymphatic"
"302",302,"A1",1864.80276816609,55.9982698961938,578,"B","B","Lymphatic"
"303",303,"A1",1985.41518987342,55.379746835443,395,"B","B","Lymphatic"
"304",304,"A1",442.120383036936,57.7140902872777,731,"B","B","B"
"305",305,"A1",1158.52928416486,56.1127982646421,461,"B","B","Epithelial"
"306",306,"A1",1257.18644067797,57.4067796610169,118,"B","B","B"
"307",307,"A1",1841.23741007194,56.4690647482014,695,"B","B","Lymphatic"
"308",308,"A1",614.935866983373,57.5273159144893,421,"B","B","Endothelial"
"309",309,"A1",910.870286576169,58.4238310708899,663,"B","B","Epithelial"
"310",310,"A1",965.640909090909,57.9909090909091,220,"B","B","Epithelial"
"311",311,"A1",1234.68925619835,57.5603305785124,605,"B","B","Endothelial"
"312",312,"A1",102.355102040816,58.9469387755102,245,"B","B","CD4"
"313",313,"A1",198.289051094891,58.3897810218978,685,"B","B","Epithelial"
"314",314,"A1",273.083076923077,59.52,325,"B","B","Lymphatic"
"315",315,"A1",1715.2607879925,59.0844277673546,533,"B","B","B"
"316",316,"A1",2004.22368421053,58.5773026315789,608,"B","B","B"
"317",317,"A1",367.083582089552,59.8626865671642,335,"B","B","DC"
"318",318,"A1",532.385861561119,59.298969072165,679,"B","B","B"
"319",319,"A1",813.645669291339,59.7716535433071,127,"B","B","B"
"320",320,"A1",1180.5,59.55,100,"B","B","Epithelial"
"321",321,"A1",1815.71844660194,60.3131067961165,412,"Neutrophil","Neutrophil","Neutrophil"
"322",322,"A1",315.72602739726,60.7762557077626,219,"Lymphatic","Lymphatic","Lymphatic"
"323",323,"A1",992.866666666667,61.5055555555556,360,"B","B","B"
"324",324,"A1",1135.7217847769,62.3622047244095,381,"B","B","Epithelial"
"325",325,"A1",1404.07954545455,60.9204545454545,352,"B","B","B"
"326",326,"A1",1501.97108433735,60.8771084337349,415,"B","B","Epithelial"
"327",327,"A1",291.968871595331,62.3968871595331,257,"T","CD4","CD4"
"328",328,"A1",932.166002656042,61.136786188579,753,"B","B","Epithelial"
"329",329,"A1",1200.15882352941,61.8588235294118,510,"B","B","B"
"330",330,"A1",1558.8064516129,61.8215053763441,465,"B","B","B"
"331",331,"A1",1642.44768856448,62.2518248175182,822,"B","B","Epithelial"
"332",332,"A1",466.60162601626,63.780487804878,123,"B","B","B"
"333",333,"A1",501.557103064067,63.3732590529248,359,"B","B","B"
"334",334,"A1",868.26582278481,63.6075949367089,158,"B","B","Epithelial"
"335",335,"A1",1031.78333333333,62.7666666666667,180,"B","B","Epithelial"
"336",336,"A1",1042.13698630137,63.4155251141553,219,"B","B","Epithelial"
"337",337,"A1",1114.48830409357,63.6900584795322,342,"B","B","Epithelial"
"338",338,"A1",1296.75862068966,63.4942528735632,87,"B","B","Epithelial"
"339",339,"A1",5.92825112107623,64.780269058296,223,"B","B","CD4"
"340",340,"A1",22.5419847328244,67.175572519084,262,"T","CD4","CD4"
"341",341,"A1",36.1723163841808,64.409604519774,354,"B","B","Epithelial"
"342",342,"A1",1435.63323353293,64.684131736527,668,"B","B","Epithelial"
"343",343,"A1",1592.43946188341,63.8759342301943,669,"B","B","Epithelial"
"344",344,"A1",1684.46613545817,65.0756972111554,502,"B","B","Epithelial"
"345",345,"A1",1794.29090909091,63.9090909090909,165,"B","B","CD4"
"346",346,"A1",1911.51578947368,64.2894736842105,190,"B","B","B"
"347",347,"A1",177.474123539232,64.7679465776294,599,"T","CD4","CD4"
"348",348,"A1",350.212765957447,65.6382978723404,94,"Lymphatic","Lymphatic","Lymphatic"
"349",349,"A1",577.828125,64.1171875,128,"B","B","B"
"350",350,"A1",1247.34722222222,70.3194444444444,216,"B","B","B"
"351",351,"A1",1700.1,66.03,100,"B","B","Epithelial"
"352",352,"A1",218.707774798928,67.3994638069705,373,"T","CD4","CD4"
"353",353,"A1",729.366666666667,66.7666666666667,390,"B","B","Epithelial"
"354",354,"A1",745.466101694915,66.6694915254237,236,"B","B","B"
"355",355,"A1",1339.05566600398,67.6838966202783,503,"B","B","Epithelial"
"356",356,"A1",149.101508916324,67.8641975308642,729,"B","B","Lymphatic"
"357",357,"A1",408.252730109204,68.421216848674,641,"B","B","DC"
"358",358,"A1",484.574036511156,67.4320486815416,493,"B","B","B"
"359",359,"A1",568.535519125683,67.2732240437158,183,"B","B","B"
"360",360,"A1",648.088628762542,68.2508361204013,598,"B","B","Epithelial"
"361",361,"A1",857.780821917808,68.986301369863,73,"B","B","Epithelial"
"362",362,"A1",1535.962529274,67.7353629976581,427,"B","B","Epithelial"
"363",363,"A1",1944.11663066955,67.92656587473,463,"B","B","B"
"364",364,"A1",1968.31390977444,68.3157894736842,532,"B","B","Lymphatic"
"365",365,"A1",822.029090909091,69.5127272727273,275,"B","B","Epithelial"
"366",366,"A1",842.434704830054,68.5116279069767,559,"B","B","Epithelial"
"367",367,"A1",1066.42857142857,69.0837438423645,203,"B","B","B"
"368",368,"A1",2021.58510638298,69.6622340425532,376,"B","B","B"
"369",369,"A1",628.838187702265,70.4142394822006,309,"B","Endothelial","Endothelial"
"370",370,"A1",1215.41958041958,70.8811188811189,286,"B","B","B"
"371",371,"A1",1474.78417266187,69.5419664268585,417,"B","B","Epithelial"
