"","Well","cellID","pos_x","pos_y","cell_Area","k10_whole","k15_whole","CX2_full"
"61","A01",65,332,170,170,"B","CD4","CD4"
"62","A01",66,776,1049,246,"Neutrophil","Neutrophil","Neutrophil"
"63","A01",67,661,367,148,"B","B","B"
"64","A01",68,1667,1480,252,"B","B","Endothelial"
"65","A01",69,619,240,606,"B","B","Endothelial"
"66","A01",70,2012,1076,172,"B","B","DC"
"67","A01",71,516,81,509,"B","B","B"
"68","A01",72,883,1912,454,"B","Lymphatic","Lymphatic"
"69","A01",73,1605,606,242,"B","B","B"
"70","A01",74,100,915,650,"T","CD4","CD4"
"71","A01",75,1614,1641,1072,"B","B","B"
"72","A01",76,263,150,339,"B","B","B"
"73","A01",77,507,1950,411,"B","B","B"
"74","A01",78,1261,597,315,"B","B","B"
"75","A01",79,19,638,464,"B","Lymphatic","Lymphatic"
"76","A01",80,1587,1361,142,"Unresolvable","Unresolvable","M1"
"77","A01",81,438,1357,431,"B","Lymphatic","Lymphatic"
"78","A01",83,1673,1442,246,"B","B","B"
"79","A01",84,335,676,356,"Epithelial","Epithelial","Epithelial"
"80","A01",85,637,1861,347,"B","B","B"
"81","A01",86,1887,505,219,"B","B","B"
"82","A01",87,1013,1843,373,"Unresolvable","Unresolvable","M1"
"83","A01",88,1593,1108,370,"B","Lymphatic","Lymphatic"
"84","A01",89,724,1146,291,"Neutrophil","Neutrophil","Neutrophil"
"85","A01",90,868,1973,233,"B","Lymphatic","Lymphatic"
"86","A01",91,254,265,323,"B","B","Epithelial"
"87","A01",92,572,1917,415,"B","B","B"
"88","A01",93,865,1692,335,"B","Lymphatic","Lymphatic"
"89","A01",94,836,134,351,"B","B","Epithelial"
"90","A01",95,629,1737,450,"B","B","B"
"91","A01",96,1064,1815,197,"B","B","DC"
"92","A01",97,156,263,179,"B","B","Epithelial"
"93","A01",98,1186,883,233,"B","B","Endothelial"
"94","A01",99,930,292,371,"Epithelial","Epithelial","Epithelial"
"95","A01",100,1954,349,355,"B","B","Endothelial"
"96","A01",101,1379,649,253,"B","B","Epithelial"
"97","A01",102,1469,544,286,"B","B","Epithelial"
"98","A01",103,694,487,319,"B","B","Endothelial"
"99","A01",104,570,1095,542,"Epithelial","Epithelial","Epithelial"
"100","A01",105,130,1226,308,"B","B","DC"
"101","A01",106,144,1776,638,"B","B","CD4"
"102","A01",107,1258,295,176,"Epithelial","Epithelial","Epithelial"
"103","A01",108,121,313,584,"Epithelial","Epithelial","Epithelial"
"104","A01",109,1533,1084,542,"B","B","M1"
"105","A01",110,1049,985,321,"Epithelial","Epithelial","Neutrophil"
"106","A01",111,317,141,323,"B","B","B"
"107","A01",112,626,1093,395,"Neutrophil","Neutrophil","Neutrophil"
"108","A01",113,1499,1061,244,"B","B","CD4"
"109","A01",114,335,182,248,"T","CD4","Treg"
"110","A01",115,102,1808,175,"B","B","DC"
"111","A01",116,1448,1993,421,"Neutrophil","Neutrophil","Neutrophil"
"112","A01",117,1539,1320,342,"Unresolvable","Unresolvable","M1"
"113","A01",118,383,742,797,"Epithelial","Epithelial","Neutrophil"
"114","A01",119,1877,1103,276,"B","B","B"
"115","A01",120,364,1300,499,"B","B","B"
"116","A01",121,1294,1412,350,"Endothelial","Endothelial","Endothelial"
"117","A01",122,1323,1598,461,"B","B","B"
"118","A01",123,426,814,598,"Neutrophil","Neutrophil","Neutrophil"
"119","A01",124,26,88,986,"B","B","DC"
"120","A01",125,1776,602,332,"B","B","B"
"121","A01",126,1004,1335,286,"Neutrophil","Neutrophil","Neutrophil"
"122","A01",127,584,1086,518,"Neutrophil","Neutrophil","Neutrophil"
"123","A01",128,1879,863,271,"B","B","B"
"124","A01",129,706,1530,260,"B","B","B"
"125","A01",130,1070,687,821,"Epithelial","Epithelial","Neutrophil"
"126","A01",131,1141,1916,402,"B","B","Epithelial"
"127","A01",132,769,854,386,"Neutrophil","Neutrophil","Neutrophil"
"128","A01",133,1897,253,352,"B","Lymphatic","Lymphatic"
"129","A01",134,222,1294,253,"B","B","CD4"
"130","A01",135,1631,982,243,"B","B","B"
"131","A01",136,1539,797,324,"Unresolvable","Unresolvable","M1"
"132","A01",137,595,1712,240,"B","B","B"
"133","A01",138,322,1760,571,"B","B","B"
"134","A01",139,810,951,229,"Neutrophil","Neutrophil","Neutrophil"
"135","A01",140,37,126,357,"B","B","Epithelial"
"136","A01",141,534,994,336,"Neutrophil","Neutrophil","Neutrophil"
"137","A01",142,1327,950,266,"B","B","B"
"138","A01",143,495,604,502,"B","B","B"
"139","A01",144,1627,967,138,"B","CD4","DC"
"140","A01",145,467,1592,411,"Unresolvable","Unresolvable","M1"
"141","A01",146,678,1220,364,"B","B","B"
"142","A01",148,1716,1296,374,"B","B","Epithelial"
"143","A01",149,877,716,668,"B","B","Epithelial"
"144","A01",150,1378,1460,784,"B","B","Endothelial"
"145","A01",151,942,699,692,"Epithelial","Epithelial","Epithelial"
"146","A01",152,710,1204,123,"B","B","B"
"147","A01",153,427,1563,501,"Neutrophil","Neutrophil","Neutrophil"
"148","A01",154,829,1235,152,"Epithelial","Epithelial","Epithelial"
"149","A01",155,708,1783,307,"B","B","B"
"150","A01",156,290,820,609,"B","B","Endothelial"
"151","A01",157,403,1737,240,"B","B","B"
"152","A01",158,1337,991,346,"B","B","B"
"153","A01",159,1507,157,211,"B","B","B"
"154","A01",160,1832,560,335,"B","Lymphatic","Lymphatic"
"155","A01",161,351,316,571,"B","B","Epithelial"
"156","A01",162,876,1175,242,"Neutrophil","Neutrophil","Neutrophil"
"157","A01",163,1686,1476,429,"B","B","Endothelial"
"158","A01",165,162,1610,211,"B","B","B"
"159","A01",166,1387,854,254,"B","B","B"
"160","A01",167,1465,1774,269,"B","B","B"
"161","A01",168,710,1236,148,"B","B","B"
"162","A01",169,388,824,370,"Neutrophil","Neutrophil","Neutrophil"
"163","A01",170,1973,1011,532,"B","B","Epithelial"
"164","A01",171,1644,806,501,"B","B","B"
"165","A01",172,221,480,232,"B","B","Endothelial"
"166","A01",173,216,1345,433,"B","B","CD4"
"167","A01",174,212,146,483,"B","B","CD4"
"168","A01",175,61,1785,386,"B","B","CD4"
"169","A01",176,612,445,294,"Epithelial","Epithelial","Epithelial"
"170","A01",177,1927,380,262,"B","B","B"
"171","A01",178,518,2001,1119,"B","B","B"
"172","A01",179,1315,1876,322,"Neutrophil","Neutrophil","Neutrophil"
"173","A01",180,611,499,55,"B","B","Epithelial"
"174","A01",181,631,1849,175,"B","B","B"
"175","A01",182,366,30,158,"B","B","B"
"176","A01",183,183,84,494,"T","CD4","CD4"
"177","A01",184,1813,1784,555,"Neutrophil","Neutrophil","Neutrophil"
"178","A01",185,835,1376,473,"B","B","B"
"179","A01",186,374,141,193,"B","Lymphatic","Lymphatic"
"180","A01",187,86,1944,161,"B","B","B"
"181","A01",189,331,762,99,"B","B","Epithelial"
"182","A01",190,950,56,360,"B","B","Epithelial"
"183","A01",191,1821,1807,581,"Epithelial","Epithelial","Neutrophil"
"184","A01",192,581,29,445,"B","B","B"
"185","A01",193,1986,895,324,"B","B","B"
"186","A01",194,567,440,154,"B","B","Epithelial"
"187","A01",195,1036,1382,162,"Neutrophil","Neutrophil","Neutrophil"
"188","A01",196,612,1009,140,"Neutrophil","Neutrophil","Neutrophil"
"189","A01",197,1289,172,342,"B","B","Epithelial"
"190","A01",198,822,1102,131,"Neutrophil","Neutrophil","Neutrophil"
"191","A01",199,730,1900,460,"B","B","B"
"192","A01",200,1665,64,390,"B","B","Epithelial"
"193","A01",201,2018,118,220,"T","CD4","Treg"
"194","A01",202,1815,422,339,"B","B","DC"
"195","A01",203,2023,1868,210,"B","B","DC"
"196","A01",204,429,1782,654,"B","B","B"
"197","A01",205,1925,1286,439,"B","B","B"
"198","A01",206,777,32,300,"B","Lymphatic","Lymphatic"
"199","A01",207,1463,1877,438,"Neutrophil","Neutrophil","Neutrophil"
"200","A01",208,447,1084,358,"B","B","Epithelial"
"201","A01",209,2019,313,403,"B","B","B"
"202","A01",210,239,1322,678,"Endothelial","Endothelial","B"
"203","A01",211,1481,1797,466,"B","B","Neutrophil"
"204","A01",212,1901,1446,361,"B","B","B"
"205","A01",213,1743,47,401,"B","B","B"
"206","A01",214,121,134,320,"B","Endothelial","Endothelial"
"207","A01",215,629,1310,128,"B","Lymphatic","Lymphatic"
"208","A01",216,280,1617,516,"B","B","DC"
"209","A01",217,604,1536,212,"B","B","B"
"210","A01",219,661,1089,304,"Neutrophil","Neutrophil","Neutrophil"
"211","A01",220,721,559,230,"Epithelial","Epithelial","Epithelial"
"212","A01",221,911,2006,360,"M2","M2","M2"
"213","A01",222,1721,487,226,"B","B","B"
"214","A01",223,503,849,201,"B","B","B"
"215","A01",224,1332,1617,216,"B","B","B"
"216","A01",225,876,898,222,"B","B","Neutrophil"
"217","A01",226,142,1364,179,"B","B","DC"
"218","A01",227,1548,390,302,"B","B","B"
"219","A01",228,1584,1052,301,"Unresolvable","Unresolvable","M1"
"220","A01",229,1386,1133,589,"B","B","Epithelial"
"221","A01",230,846,962,395,"Neutrophil","Neutrophil","Neutrophil"
"222","A01",231,1469,1099,234,"B","B","B"
"223","A01",232,950,304,296,"B","B","Epithelial"
"224","A01",233,782,785,927,"Epithelial","Epithelial","Neutrophil"
"225","A01",234,77,432,426,"B","B","CD4"
"226","A01",235,499,523,430,"B","Lymphatic","Lymphatic"
"227","A01",236,1745,703,203,"B","B","B"
"228","A01",237,1591,1287,475,"B","B","Epithelial"
"229","A01",238,969,1945,341,"B","Lymphatic","Lymphatic"
"230","A01",239,26,1138,264,"T","CD8","CD8"
"231","A01",240,1461,1860,266,"Neutrophil","Neutrophil","Neutrophil"
"232","A01",241,1553,409,313,"B","B","B"
"233","A01",242,1384,1251,71,"B","B","Epithelial"
"234","A01",243,927,255,681,"B","B","Epithelial"
"235","A01",244,1768,1621,690,"Epithelial","Epithelial","Epithelial"
"236","A01",245,1671,165,239,"B","B","Epithelial"
"237","A01",246,1229,1370,158,"B","B","DC"
"238","A01",247,61,624,523,"T","CD4","CD4"
"239","A01",248,1125,1805,439,"B","B","B"
"240","A01",249,765,1123,239,"Neutrophil","Neutrophil","Neutrophil"
"241","A01",250,494,122,177,"B","B","B"
"242","A01",251,134,1346,397,"B","B","B"
"243","A01",252,396,939,424,"Neutrophil","Neutrophil","Neutrophil"
"244","A01",253,1425,209,189,"B","B","Epithelial"
"245","A01",254,612,1616,160,"B","Lymphatic","Lymphatic"
"246","A01",255,778,997,148,"Neutrophil","Neutrophil","Neutrophil"
"247","A01",256,705,1986,191,"B","B","B"
"248","A01",257,384,555,257,"B","B","B"
"249","A01",258,651,468,228,"T","CD4","Treg"
"250","A01",259,191,543,509,"Endothelial","Endothelial","Endothelial"
"251","A01",260,1600,1755,131,"Neutrophil","Neutrophil","Neutrophil"
"252","A01",261,67,1051,370,"B","B","B"
"253","A01",262,638,869,530,"Neutrophil","Neutrophil","Neutrophil"
"254","A01",263,1528,1524,408,"Unresolvable","Unresolvable","M1"
"255","A01",264,1874,310,491,"B","Lymphatic","Lymphatic"
"256","A01",265,1840,657,479,"B","Lymphatic","Lymphatic"
"257","A01",266,1021,1344,779,"Neutrophil","Neutrophil","Neutrophil"
"258","A01",267,44,863,215,"B","B","Epithelial"
"259","A01",268,9,1256,325,"B","B","B"
"260","A01",269,367,1799,303,"B","B","B"
"261","A01",270,1518,1806,439,"Neutrophil","Neutrophil","Neutrophil"
"262","A01",271,1630,1397,225,"Unresolvable","Unresolvable","M1"
"263","A01",272,92,369,269,"B","B","B"
"264","A01",273,469,1646,312,"B","B","DC"
"265","A01",274,945,320,718,"Epithelial","Epithelial","Epithelial"
"266","A01",275,266,1614,284,"B","B","B"
"267","A01",276,1646,430,390,"B","B","B"
"268","A01",277,1131,1166,366,"Unresolvable","Unresolvable","M1"
"269","A01",278,983,775,441,"Neutrophil","Neutrophil","Neutrophil"
"270","A01",279,186,160,204,"B","B","M1"
"271","A01",280,1944,479,499,"B","B","B"
"272","A01",281,312,721,249,"Epithelial","Epithelial","Epithelial"
"273","A01",282,1261,1373,309,"Endothelial","Endothelial","B"
"274","A01",283,1511,637,164,"B","B","Epithelial"
"275","A01",284,1740,758,344,"B","B","B"
"276","A01",285,1059,1188,352,"B","B","Endothelial"
"277","A01",286,252,1094,254,"Neutrophil","Neutrophil","Neutrophil"
"278","A01",288,326,1311,346,"B","B","B"
"279","A01",289,1794,347,262,"B","B","Epithelial"
"280","A01",291,949,1972,315,"B","B","Endothelial"
"281","A01",292,1159,1355,289,"B","B","Endothelial"
"282","A01",293,389,1284,410,"B","B","B"
"283","A01",294,838,1091,126,"Neutrophil","Neutrophil","Neutrophil"
"284","A01",295,1292,1613,280,"B","B","B"
"285","A01",296,738,852,251,"Neutrophil","Neutrophil","Neutrophil"
"286","A01",297,574,2017,201,"B","B","B"
"287","A01",298,1218,1355,526,"B","B","B"
"288","A01",299,1583,900,487,"Unresolvable","Unresolvable","M1"
"289","A01",301,1272,1865,700,"Epithelial","Epithelial","Neutrophil"
"290","A01",302,135,639,529,"B","B","Epithelial"
"291","A01",303,447,1553,269,"B","B","B"
"292","A01",304,26,1588,396,"T","CD4","CD4"
"293","A01",305,1621,1857,147,"Neutrophil","Neutrophil","Neutrophil"
"294","A01",306,1643,222,242,"B","B","B"
"295","A01",307,111,473,280,"B","Lymphatic","Lymphatic"
"296","A01",308,1268,1343,214,"Endothelial","Endothelial","B"
"297","A01",309,1724,1311,514,"Epithelial","Epithelial","Epithelial"
"298","A01",310,1586,1408,440,"B","B","B"
"299","A01",311,500,1682,284,"B","B","DC"
"300","A01",312,1974,357,402,"B","B","B"
"301","A01",313,1251,704,243,"B","B","Endothelial"
"302","A01",314,1991,1369,740,"Epithelial","Epithelial","Epithelial"
"303","A01",315,615,501,554,"Epithelial","Epithelial","Epithelial"
"304","A01",316,1569,123,254,"B","B","B"
"305","A01",317,477,1038,224,"Neutrophil","Neutrophil","Neutrophil"
"306","A01",318,1708,495,307,"B","B","B"
"307","A01",319,1898,1250,285,"B","B","B"
"308","A01",320,1741,682,462,"B","B","B"
"309","A01",321,1919,1160,377,"B","B","B"
"310","A01",322,969,200,595,"B","B","Endothelial"
"311","A01",323,631,1186,419,"B","B","B"
"312","A01",324,790,1215,187,"Epithelial","Epithelial","Epithelial"
"313","A01",325,72,737,208,"B","B","Endothelial"
"314","A01",326,889,1293,436,"Epithelial","Epithelial","Epithelial"
"315","A01",327,1116,225,156,"Epithelial","Epithelial","Epithelial"
"316","A01",328,1063,664,154,"Neutrophil","Neutrophil","Neutrophil"
"317","A01",329,862,1248,433,"Neutrophil","Neutrophil","Neutrophil"
"318","A01",330,1445,953,506,"B","B","B"
"319","A01",331,1351,925,526,"B","B","B"
"320","A01",332,1807,829,375,"B","B","B"
"321","A01",333,1396,258,507,"B","B","Epithelial"
"322","A01",334,1650,1321,141,"B","B","B"
"323","A01",335,1521,1566,489,"B","B","B"
"324","A01",336,418,1728,343,"B","B","B"
"325","A01",337,1241,1166,231,"B","B","B"
"326","A01",338,706,1355,451,"B","B","B"
"327","A01",339,340,822,624,"Epithelial","Epithelial","Epithelial"
"328","A01",340,1318,561,331,"B","B","B"
"329","A01",341,1337,89,561,"Epithelial","Epithelial","Epithelial"
"330","A01",342,1688,1741,1884,"Epithelial","Epithelial","Neutrophil"
"331","A01",343,1887,155,219,"B","B","B"
"332","A01",344,797,887,460,"Neutrophil","Neutrophil","Neutrophil"
"333","A01",345,129,1140,357,"Neutrophil","Neutrophil","Neutrophil"
"334","A01",346,1206,1298,698,"B","B","B"
"335","A01",347,1875,710,560,"B","B","B"
"336","A01",348,906,481,259,"B","B","B"
"337","A01",349,1920,154,457,"B","B","B"
"338","A01",350,1132,591,1702,"Epithelial","Epithelial","Epithelial"
"339","A01",351,1773,170,359,"B","B","Epithelial"
"340","A01",352,885,13,265,"B","B","B"
"341","A01",353,1287,472,257,"B","B","Endothelial"
"342","A01",355,448,494,261,"B","Lymphatic","Lymphatic"
"343","A01",356,721,862,377,"Neutrophil","Neutrophil","Neutrophil"
"344","A01",357,26,605,738,"T","CD4","CD4"
"345","A01",358,44,1646,291,"B","B","B"
"346","A01",359,1985,1701,705,"Epithelial","Epithelial","Epithelial"
"347","A01",360,519,1638,239,"B","B","B"
"348","A01",361,135,1596,433,"B","B","B"
"349","A01",362,1643,902,437,"Unresolvable","Unresolvable","M1"
"350","A01",363,475,1117,420,"B","B","Epithelial"
"351","A01",364,346,1544,360,"B","B","B"
"352","A01",365,1674,1640,494,"B","B","B"
"353","A01",366,1959,272,495,"B","B","CD4"
"354","A01",367,961,32,264,"B","B","B"
"355","A01",368,1878,1920,255,"B","B","B"
"356","A01",369,504,1707,325,"B","B","DC"
"357","A01",370,452,960,315,"Neutrophil","Neutrophil","Neutrophil"
"358","A01",371,573,178,281,"B","B","B"
"359","A01",372,849,1221,418,"Neutrophil","Neutrophil","Neutrophil"
"360","A01",373,1252,122,293,"B","B","Epithelial"
"361","A01",374,560,998,359,"Neutrophil","Neutrophil","Neutrophil"
"362","A01",375,641,966,352,"Neutrophil","Neutrophil","Neutrophil"
"363","A01",376,472,703,503,"B","B","Endothelial"
"364","A01",377,347,1526,220,"B","B","B"
"365","A01",378,739,1340,432,"B","B","B"
"366","A01",379,367,2010,427,"B","B","B"
"367","A01",380,1937,1202,395,"Neutrophil","Neutrophil","Neutrophil"
"368","A01",381,726,668,618,"Neutrophil","Neutrophil","Neutrophil"
"369","A01",382,37,288,498,"B","B","B"
"370","A01",383,678,215,224,"B","B","Epithelial"
"371","A01",384,420,776,330,"Epithelial","Epithelial","Neutrophil"
"372","A01",385,26,854,434,"Epithelial","Epithelial","Epithelial"
"373","A01",386,1534,44,287,"B","B","CD4"
"374","A01",387,1412,894,412,"B","B","B"
"375","A01",388,1291,100,513,"Epithelial","Epithelial","Epithelial"
"376","A01",389,332,12,580,"B","Lymphatic","Lymphatic"
"377","A01",390,542,1796,268,"B","B","B"
"378","A01",391,178,479,136,"B","B","Epithelial"
"379","A01",392,1328,27,236,"B","B","Epithelial"
"380","A01",393,1138,783,223,"B","B","B"
"381","A01",394,965,56,338,"B","B","Epithelial"
"382","A01",395,1950,248,764,"B","B","B"
"383","A01",396,511,1788,597,"B","B","B"
"384","A01",397,1583,314,468,"B","B","Epithelial"
"385","A01",398,728,697,402,"Epithelial","Epithelial","Neutrophil"
"386","A01",399,1008,1227,264,"Neutrophil","Neutrophil","Neutrophil"
"387","A01",400,1669,1917,194,"Neutrophil","Neutrophil","Neutrophil"
"388","A01",401,1345,1669,452,"B","B","B"
"389","A01",402,855,735,300,"B","B","B"
"390","A01",403,511,588,300,"B","B","B"
"391","A01",404,907,1991,230,"M2","M2","M2"
"392","A01",405,273,1574,572,"B","B","B"
"393","A01",406,1865,238,435,"B","B","B"
"394","A01",407,104,820,289,"B","B","Epithelial"
"395","A01",408,582,519,978,"Epithelial","Epithelial","Epithelial"
"396","A01",409,1770,782,452,"T","CD4","Treg"
"397","A01",410,903,744,801,"Epithelial","Epithelial","Epithelial"
"398","A01",411,574,1244,356,"B","B","B"
"399","A01",412,1105,1436,396,"Neutrophil","Neutrophil","Neutrophil"
"400","A01",413,1240,1275,240,"B","Lymphatic","Lymphatic"
"401","A01",414,864,598,319,"B","B","B"
"402","A01",415,879,1139,393,"Neutrophil","Neutrophil","Neutrophil"
"403","A01",416,1115,1277,222,"B","B","Endothelial"
"404","A01",417,1731,1736,2060,"Epithelial","Epithelial","Neutrophil"
"405","A01",418,1723,213,459,"B","B","B"
"406","A01",419,727,144,596,"B","B","Epithelial"
"407","A01",420,927,713,540,"Epithelial","Epithelial","Epithelial"
"408","A01",421,1487,362,614,"B","B","Epithelial"
"409","A01",422,437,1372,333,"B","Lymphatic","Lymphatic"
"410","A01",423,1872,533,565,"B","Lymphatic","Lymphatic"
"411","A01",424,632,1963,258,"B","B","B"
"412","A01",425,1712,293,329,"B","B","B"
"413","A01",426,804,68,238,"B","B","B"
"414","A01",427,1502,944,192,"B","B","B"
"415","A01",428,275,527,347,"B","B","B"
"416","A01",429,1654,1830,320,"Neutrophil","Neutrophil","Neutrophil"
"417","A01",430,17,1153,371,"Unresolvable","Unresolvable","M1"
"418","A01",431,1370,201,318,"Neutrophil","Neutrophil","Neutrophil"
"419","A01",432,1592,1993,161,"Neutrophil","Neutrophil","Neutrophil"
"420","A01",433,1242,868,942,"B","B","B"
"421","A01",434,1531,1258,128,"B","B","B"
"422","A01",435,870,485,231,"B","B","B"
"423","A01",436,321,209,245,"B","Lymphatic","Lymphatic"
"424","A01",437,1630,952,451,"B","B","CD4"
"425","A01",438,719,1037,363,"Neutrophil","Neutrophil","Neutrophil"
"426","A01",439,1677,1855,328,"Neutrophil","Neutrophil","Neutrophil"
"427","A01",440,268,509,248,"B","B","B"
"428","A01",441,889,970,155,"Neutrophil","Neutrophil","Neutrophil"
"429","A01",442,584,620,832,"Epithelial","Epithelial","Epithelial"
"430","A01",443,1219,999,424,"B","B","B"
"431","A01",444,397,1319,336,"B","Lymphatic","Lymphatic"
"432","A01",445,1415,1059,347,"B","B","B"
"433","A01",446,712,74,264,"B","B","B"
"434","A01",448,1734,185,661,"B","B","Epithelial"
"435","A01",449,981,1908,186,"T","CD8","CD8"
"436","A01",450,1993,134,549,"B","B","B"
"437","A01",451,1498,1765,169,"B","B","B"
"438","A01",452,614,524,116,"B","B","Epithelial"
"439","A01",453,1755,1564,365,"B","B","B"
"440","A01",454,1719,1051,672,"B","Lymphatic","Lymphatic"
"441","A01",455,239,1519,247,"B","B","DC"
"442","A01",456,974,72,584,"B","B","Epithelial"
"443","A01",457,1235,124,236,"B","B","B"
"444","A01",458,1901,854,463,"Neutrophil","Neutrophil","Neutrophil"
"445","A01",459,1606,1691,197,"B","B","B"
"446","A01",460,1672,995,557,"B","B","Lymphatic"
"447","A01",461,2023,624,386,"B","B","B"
"448","A01",462,2003,1738,445,"Epithelial","Epithelial","Epithelial"
"449","A01",463,1118,1503,161,"Neutrophil","Neutrophil","Neutrophil"
"450","A01",464,1064,639,214,"B","B","Epithelial"
"451","A01",465,1333,1825,544,"Neutrophil","Neutrophil","Neutrophil"
"452","A01",466,230,496,508,"B","B","Endothelial"
"453","A01",467,1993,1238,138,"Neutrophil","Neutrophil","Neutrophil"
"454","A01",468,731,193,258,"B","B","Epithelial"
"455","A01",469,1537,511,215,"B","B","Epithelial"
"456","A01",470,521,489,433,"B","B","B"
"457","A01",471,1590,1794,392,"Neutrophil","Neutrophil","Neutrophil"
"458","A01",472,458,1818,340,"B","B","B"
"459","A01",473,1370,1435,494,"B","B","Endothelial"
"460","A01",474,1599,1252,315,"Unresolvable","Unresolvable","M1"
"461","A01",475,337,2025,261,"B","B","B"
"462","A01",476,1325,1912,469,"Neutrophil","Neutrophil","Neutrophil"
"463","A01",477,341,1835,315,"B","B","B"
"464","A01",478,341,1755,265,"B","B","B"
"465","A01",479,43,190,186,"T","CD4","Treg"
"466","A01",480,1569,817,358,"B","B","DC"
"467","A01",481,1586,242,451,"B","B","Epithelial"
"468","A01",482,1858,365,150,"B","B","B"
"469","A01",483,1650,1067,225,"B","CD4","CD4"
"470","A01",484,638,1053,255,"Neutrophil","Neutrophil","Neutrophil"
"471","A01",485,1664,1333,173,"B","B","B"
"472","A01",486,551,1199,277,"B","B","Epithelial"
"473","A01",487,1810,69,265,"B","B","B"
"474","A01",488,1955,334,435,"B","B","Endothelial"
"475","A01",489,701,1112,242,"Neutrophil","Neutrophil","Neutrophil"
"476","A01",490,627,907,298,"Neutrophil","Neutrophil","Neutrophil"
"477","A01",491,1902,72,621,"B","B","B"
"478","A01",492,352,94,210,"B","Lymphatic","B"
"479","A01",493,704,774,266,"Neutrophil","Neutrophil","Neutrophil"
"480","A01",494,247,774,278,"B","B","B"
"481","A01",495,442,1522,262,"T","CD8","CD8"
"482","A01",496,1558,518,320,"B","B","Epithelial"
"483","A01",497,1047,347,529,"B","B","B"
"484","A01",498,1071,1944,479,"Unresolvable","Unresolvable","M1"
"485","A01",499,727,709,502,"Epithelial","Epithelial","Neutrophil"
"486","A01",500,588,707,383,"B","B","Endothelial"
"487","A01",501,1433,1244,494,"Epithelial","Epithelial","Epithelial"
"488","A01",502,1181,25,205,"B","B","B"
"489","A01",503,643,1120,629,"Neutrophil","Neutrophil","Neutrophil"
